Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1995,0,0,34,Piceaabies,T,965,0,4.12,3.69,0,0,0,0,0,0,0.8
1995,0,0,34,Pinussylvestris,T,870,0,12.74,10.92,0,0,0,0,0,0,1.37
//1995,0,0,34,Pinussylvestris,T,1835,0,12.74,10.92,0,0,0,0,0,0,1.37 //meerging the above two rows for test

//1996,0,0,35,Piceaabies,T,965,0,4.2,3.82,0,0,0,0,0,0,0.81
1996,0,0,35,Pinussylvestris,T,870,0,12.99,11.31,0,0,0,0,0,0,1.39
//1996,0,0,34,Pinussylvestris,T,2500,0,10.56,6.5,0,0,0,0,0,0,5 //references: Vesala 1996, Vesala et al.; 1998, Kramer et al., 2002 
//1996,0,0,28,Pinussylvestris,T,1796,0,10.3,6.5,0,0,0,0,0,0,2 //references:Mencuccini and Bonosi Can. J. For. Res 2001

1997,0,0,36,Piceaabies,T,965,0,4.28,3.95,0,0,0,0,0,0,0.83
1997,0,0,36,Pinussylvestris,T,870,0,13.23,11.68,0,0,0,0,0,0,1.41

1998,0,0,37,Piceaabies,T,965,0,4.34,4.07,0,0,0,0,0,0,0.84
1998,0,0,37,Pinussylvestris,T,872,0,13.42,12.04,0,0,0,0,0,0,1.42

1999,0,0,38,Piceaabies,T,965,0,4.42,4.2,0,0,0,0,0,0,0.85
1999,0,0,38,Pinussylvestris,T,872,0,13.66,12.43,0,0,0,0,0,0,1.44

2000,0,0,39,Piceaabies,T,965,0,4.5,4.33,0,0,0,0,0,0,0.86
2000,0,0,39,Pinussylvestris,T,875,0,13.91,12.8,0,0,0,0,0,0,1.47

2001,0,0,40,Piceaabies,T,965,0,4.58,4.46,0,0,0,0,0,0,0.88
2001,0,0,40,Pinussylvestris,T,875,0,14.16,13.19,0,0,0,0,0,0,1.5

2002,0,0,41,Piceaabies,T,770,0,4.61,4.4,0,0,0,0,0,0,0.72
2002,0,0,41,Pinussylvestris,T,753,0,15.23,13.89,0,0,0,0,0,0,1.19

2003,0,0,42,Piceaabies,T,770,0,4.68,4.53,0,0,0,0,0,0,0.73
2003,0,0,42,Pinussylvestris,T,753,0,15.45,14.28,0,0,0,0,0,0,1.2

2004,0,0,43,Piceaabies,T,770,0,4.85,4.66,0,0,0,0,0,0,0.76
2004,0,0,43,Pinussylvestris,T,753,0,15.73,14.6,0,0,0,0,0,0,1.23

2005,0,0,44,Piceaabies,T,770,0,4.99,4.78,0,0,0,0,0,0,0.78
2005,0,0,44,Pinussylvestris,T,754,0,15.96,14.89,0,0,0,0,0,0,1.25

//2006,0,0,45,Piceaabies,T,770,0,5.1,4.9,0,0,0,0,0,0,0.8
//2006,0,0,45,Pinussylvestris,T,754,0,16.15,15.19,0,0,0,0,0,0,1.27
2006,0,0,45,Pinussylvestris,T,1454,0,16.15,15.19,0,0,0,0,0,0,2 //merging the above two rows for test

2007,0,0,46,Piceaabies,T,770,0,5.25,5.03,0,0,0,0,0,0,0.83
2007,0,0,46,Pinussylvestris,T,754,0,16.39,15.51,0,0,0,0,0,0,1.29

2008,0,0,47,Piceaabies,T,770,0,5.38,5.16,0,0,0,0,0,0,0.85
2008,0,0,47,Pinussylvestris,T,755,0,16.61,15.83,0,0,0,0,0,0,1.31

2009,0,0,48,Piceaabies,T,770,0,5.44,5.27,0,0,0,0,0,0,0.85
2009,0,0,48,Pinussylvestris,T,755,0,16.84,16.15,0,0,0,0,0,0,1.31

2010,0,0,49,Piceaabies,T,770,0,5.53,5.38,0,0,0,0,0,0,0.86
2010,0,0,49,Pinussylvestris,T,684,0,17.49,16.76,0,0,0,0,0,0,1.26

2011,0,0,50,Piceaabies,T,770,0,5.63,5.48,0,0,0,0,0,0,0.88
2011,0,0,50,Pinussylvestris,T,684,0,17.81,17.07,0,0,0,0,0,0,1.29
